x0,y0,x1,y1
3.8739921567366427,6.8999462949817305,7.476933159990821,9.94257321954892
2.9850223208812583,4.826978910540683,6.342736562379941,7.923127800768622
4.085356295861887,6.1326260391434335,5.768703435223519,7.614097247297912
5.310834141492153,6.313510411142733,5.3977926088214225,7.563424324523204
2.8507776179082467,4.469709710740618,3.0429560192651453,5.530728582826325
2.8508006027920643,4.9284464155889705,4.5603115832105825,6.320724464287937
5.389490284231265,6.583794780035653,5.078722458080425,6.985892969748517
4.253000963334989,6.515989576176959,8.11424445243783,9.561076965434816
2.521328202211984,4.100881119268821,6.687236579136923,8.089133267096587
3.9381764035412674,5.733990778685974,2.473919689274532,4.880182600471631
2.52980757258347,4.108612944022893,6.64816793878959,9.326287953075003
2.5265706875225575,5.823165416678814,5.229835439167367,7.1938303783772
3.517339522713365,5.507891465396812,4.646155999388083,7.147922448334095
0.5,1.7596023497308697,7.2233525776817356,9.404170590205553
0.7637073770026714,3.339488815474904,8.061999044991902,9.73943916768934
2.3913898015835553,3.53679924660384,,
1.7606287740527238,3.9068332905560528,,
3.6185386081543003,4.246769521438457,,
1.9073586367912219,2.9776284025623205,,
1.201367160651509,3.3391700257598957,,
